Case_Number,Date,Buyout_Amount,Number_of_Tenants,Address,Buyout_Agreement_Source_Zipcode,Supervisor_District,Neighborhoods_Analysis_Boundaries,Location
B160285,02/02/2016,"$90,000.00",2,700 Block Of Page Street,94117,5,Haight Ashbury,"37.772670546881, -122.433090198531"
B160286,02/02/2016,,,900 Block Of Bay Street,94109,2,Russian Hill,"37.8044682924703, -122.423012151688"
B160279,02/01/2016,,,1700 Block Of Mcallister Street,94115,5,Western Addition,"37.7775342408251, -122.440863682785"
B160281,02/01/2016,,,1400 Block Of Lake Street,94118,1,Outer Richmond,"37.7861549245204, -122.474938986216"
B160274,01/29/2016,"$28,000.00",1,900 Block Of Jackson Street,94133,3,Chinatown,"37.7954876572781, -122.410479356033"
B160275,01/29/2016,"$75,000.00",2,0 Block Of Douglass Street,94114,8,Castro/Upper Market,"37.7628613420638, -122.439481563282"
B160276,01/29/2016,,,900 Block Of Sutter Street,94109,3,Nob Hill,"37.7883371397431, -122.416017227272"
B160277,01/29/2016,,,900 Block Of Sutter Street,94109,3,Nob Hill,"37.7883371397431, -122.416017227272"
B160278,01/29/2016,,,100 Block Of Clifford Terrace,94117,8,Haight Ashbury,"37.7641582470182, -122.445227476473"
B160280,01/29/2016,"$71,200.00",1,700 Block Of 20th Avenue,94121,1,Outer Richmond,"37.7737509763422, -122.478835238597"
B160271,01/28/2016,,,100 Block Of Alhambra Street,94123,2,Marina,"37.801941813005, -122.438758575375"
B160272,01/28/2016,"$20,000.00",2,800 Block Of Clayton Street,94117,5,Haight Ashbury,"37.7656141997357, -122.447660896406"
B160273,01/28/2016,"$20,000.00",2,0 Block Of Lyell Street,94112,8,Outer Mission,"37.7313118277669, -122.431604222343"
B160268,01/27/2016,$0.00,4,1200 Block Of California Street,94109,3,Nob Hill,"37.7913656229913, -122.414939768109"
B160269,01/27/2016,,,600 Block Of Broderick Street,94117,5,Hayes Valley,"37.7761874844816, -122.439682038399"
B160270,01/27/2016,,,600 Block Of Broderick Street,94117,5,Hayes Valley,"37.7761874844816, -122.439682038399"
B160261,01/26/2016,,,800 Block Of Colby Street,94134,9,Portola,"37.7199386129607, -122.410177936519"
B160262,01/26/2016,"$15,000.00",2,500 Block Of Teresita Boulevard,94127,7,West of Twin Peaks,"37.7380020831901, -122.446449647622"
B160263,01/26/2016,"$5,553.00",1,200 Block Of Ellington Avenue,94112,11,Outer Mission,"37.7138254266326, -122.444559125417"
B160264,01/26/2016,,,800 Block Of Broderick Street,94115,5,Western Addition,"37.7780404371681, -122.440188459734"
B160265,01/26/2016,"$20,000.00",1,0 Block Of Elizabeth Street,94110,8,Mission,"37.7528716378824, -122.42223253935"
B160266,01/26/2016,,,0 Block Of Elizabeth Street,94110,8,Mission,"37.7528716378824, -122.42223253935"
B160267,01/26/2016,,,0 Block Of Elizabeth Street,94110,8,Mission,"37.7528716378824, -122.42223253935"
B160293,01/26/2016,"$28,500.00",1,1300 Block Of Palou Avenue,94124,10,Bayview Hunters Point,"37.7312794563625, -122.386266955922"
B160220,01/25/2016,,,2200 Block Of Bryant Street,94110,9,Mission,"37.7588273855402, -122.409632005604"
B160221,01/25/2016,,,3600 Block Of 26th Street,94110,8,Mission,"37.7488664418886, -122.421932997509"
B160222,01/25/2016,,,3600 Block Of 26th Street,94110,8,Mission,"37.7488664418886, -122.421932997509"
B160218,01/22/2016,,,3800 Block Of Sacramento Street,94118,2,Presidio Heights,"37.7870868408494, -122.456066409071"
B160219,01/22/2016,"$38,200.00",2,500 Block Of Miramar Avenue,94112,7,West of Twin Peaks,"37.7266535729655, -122.458078876636"
B160159,01/20/2016,,,0 Block Of Saturn Street,94114,8,Castro/Upper Market,"37.7627638061674, -122.441582914996"
B160160,01/20/2016,"$10,000.00",2,1300 Block Of 45th Avenue,94122,4,Sunset/Parkside,"37.7614051602935, -122.504853112286"
B160161,01/20/2016,,,1400 Block Of Shafter Avenue,94124,10,Bayview Hunters Point,"37.7294942312576, -122.38787944736"
B160155,01/19/2016,"$10,000.00",2,900 Block Of Bay Street,94109,2,Russian Hill,"37.8043598247181, -122.422990234166"
B160156,01/19/2016,,,600 Block Of 26th Avenue,94121,1,Outer Richmond,"37.7771880050267, -122.485530777259"
B160157,01/19/2016,"$12,000.00",1,1800 Block Of California Street,94109,2,Western Addition,"37.7900019447748, -122.424784565648"
B160158,01/19/2016,"$23,000.00",2,1600 Block Of Beach Street,94123,2,Marina,"37.8046936847243, -122.436278802064"
B160149,01/15/2016,,,0 Block Of Majestic Avenue,94112,11,Oceanview/Merced/Ingleside,"37.7176993322876, -122.451373572602"
B160150,01/15/2016,,,0 Block Of Majestic Avenue,94112,11,Oceanview/Merced/Ingleside,"37.7176993322876, -122.451373572602"
B160151,01/15/2016,,,600 Block Of 26th Avenue,94121,1,Outer Richmond,"37.7771880050267, -122.485530777259"
B160152,01/15/2016,"$25,000.00",1,1200 Block Of Masonic Avenue,94117,5,Haight Ashbury,"37.7697281472927, -122.445320474935"
B160096,01/14/2016,,,1600 Block Of Oak Street,94117,5,Haight Ashbury,"37.7719248332519, -122.446503612159"
B160093,01/13/2016,,,0 Block Of Crescent Avenue,94110,9,Bernal Heights,"37.7353420632512, -122.423688144861"
B160094,01/13/2016,"$75,000.00",1,700 Block Of Guerrero Street,94110,8,Mission,"37.758756182709, -122.423643239035"
B160095,01/13/2016,,,3300 Block Of Cesar Chavez Street,94110,9,Bernal Heights,"37.7480783043548, -122.41703818925"
B160097,01/13/2016,,,3300 Block Of Cesar Chavez Street,94110,9,Bernal Heights,"37.7480783043548, -122.41703818925"
B160098,01/13/2016,"$23,000.00",1,200 Block Of Steiner Street,94117,5,Haight Ashbury,"37.771655221243, -122.432113601819"
B160092,01/12/2016,,,4500 Block Of 19th Street,94114,8,Castro/Upper Market,"37.7590583646578, -122.439636083288"
B160087,01/11/2016,,,1900 Block Of Calfornia Street,94109,2,Pacific Heights,"37.7899016099277, -122.426449179517"
B160088,01/11/2016,"$53,636.00",3,200 Block Of Mississippi Street,94107,10,Potrero Hill,"37.7633340014019, -122.394583028407"
B160089,01/11/2016,"$6,000.00",1,1300 Block Of Hampshire Street,94110,9,Mission,"37.7505006433703, -122.407131211719"
B160090,01/11/2016,,,2200 Block Of North Point Street,94123,2,Marina,"37.8027222133711, -122.444258698097"
B160074,01/08/2016,"$9,000.00",3,1500 Block Of Ortega Street,94122,4,Sunset/Parkside,"37.7522658308972, -122.480097058039"
B160078,01/08/2016,,,600 Block Of 4th Avenue,94118,1,Inner Richmond,"37.7763964512727, -122.46186991835"
B160079,01/08/2016,,,600 Block Of 4th Avenue,94118,1,Inner Richmond,"37.7763964512727, -122.46186991835"
B160080,01/08/2016,,,600 Block Of 4th Avenue,94118,1,Inner Richmond,"37.7763964512727, -122.46186991835"
B160081,01/08/2016,,,600 Block Of 4th Avenue,94118,1,Inner Richmond,"37.7763964512727, -122.46186991835"
B160071,01/07/2016,,,600 Block Of Geary Street,94102,6,Tenderloin,"37.7865705542741, -122.413973061522"
B160072,01/07/2016,"$22,500.00",1,0 Block Of Sumner Street,94103,6,South of Market,"37.7762525070324, -122.41055419198"
B160073,01/07/2016,"$100,000.00",2,2900 Block Of Harrison Street,94110,9,Mission,"37.7502392381747, -122.41160055919"
B160086,01/07/2016,"$45,000.00",1,100 Block Of Caselli Avenue,94114,8,Castro/Upper Market,"37.7596944125705, -122.441904385732"
B160153,01/07/2016,"$12,000.00",1,800 Block Of Rutland Street,94134,10,Visitacion Valley,"37.7120020016214, -122.407607976137"
B160069,01/06/2016,"$30,000.00",2,1800 Block Of California Street,94109,2,Western Addition,"37.7900019447748, -122.424784565648"
B160030,01/05/2016,,,2100 Block Of 45th Avenue,94116,4,Sunset/Parkside,"37.7464858453109, -122.503808407011"
B160070,01/05/2016,"$2,070.00",2,1700 Block Of 48th Avenue,94122,4,Sunset/Parkside,"37.7538058790377, -122.507540670635"
B160029,01/04/2016,"$60,000.00",1,700 Block Of Banks Street,94110,9,Bernal Heights,"37.7343165463469, -122.41303713928"
B153504,12/31/2015,"$7,301.00",1,0 Block Of Newton Street,94112,11,Excelsior,"37.7139398133566, -122.438943296746"
B153502,12/30/2015,,,1700 Block Of 15th Street,94103,8,Mission,"37.7663805134637, -122.423764533131"
B153503,12/30/2015,,,500 Block Of Faxon Avenue,94112,7,Oceanview/Merced/Ingleside,"37.7241982677732, -122.460163412121"
B153500,12/29/2015,"$15,000.00",1,4600 Block Of Balboa Street,94121,1,Outer Richmond,"37.7752560861831, -122.508562155835"
B153501,12/29/2015,"$5,600.00",1,3700 Block Of Fillmore Street,94123,2,Marina,"37.8058863088882, -122.437194851054"
B153480,12/28/2015,"$15,000.00",3,800 Block Of Alabama Street,94110,9,Mission,"37.7582802525421, -122.411571084248"
B153499,12/28/2015,,,400 Block Of Shotwell Street,94110,9,Mission,"37.7612295779717, -122.4160723639"
B153477,12/24/2015,"$37,000.00",2,300 Block Of Octavia Street,94102,5,Hayes Valley,"37.7755247158634, -122.424508535736"
B153476,12/23/2015,,,3200 Block Of 25th Street,94110,9,Mission,"37.7507333784807, -122.415819362131"
B153478,12/23/2015,,,300 Block Of Alemany Boulevard,94110,9,Bernal Heights,"37.7340704702749, -122.412369796669"
B153474,12/22/2015,,,300 Block Of Octavia Street,94102,5,Hayes Valley,"37.7749981272939, -122.424402171728"
B153471,12/21/2015,,,900 Block Of Sutter  Street,94109,3,Nob Hill,"37.7883371397431, -122.416017227272"
B153472,12/21/2015,,,2500 Block Of Cabrillo Street,94121,1,Outer Richmond,"37.7743084136632, -122.485928979853"
B153475,12/21/2015,"$10,000.00",2,0 Block Of Gardenside Drive,94131,8,Twin Peaks,"37.7517781008491, -122.444988945928"
B153443,12/18/2015,"$23,000.00",2,400 Block Of Vallejo Street,94133,3,North Beach,"37.7991895196914, -122.404353886828"
B153440,12/16/2015,,,100 Block Of Rolph Street,94112,11,Excelsior,"37.7145360103464, -122.438698876827"
B153123,12/15/2015,"$47,000.00",2,400 Block Of Naples Street,94112,11,Excelsior,"37.7216552287111, -122.430674546552"
B153405,12/15/2015,,,0 Block Of Cumberland Street,94110,8,Mission,"37.7591515867675, -122.424733436252"
B153402,12/14/2015,,,700 Block Of Capp Street,94110,9,Mission,"37.7547064358101, -122.417513465406"
B153403,12/14/2015,,,700 Block Of Capp Street,94110,9,Mission,"37.7547064358101, -122.417513465406"
B153404,12/14/2015,,,700 Block Of Capp Street,94110,9,Mission,"37.7547064358101, -122.417513465406"
B153009,12/11/2015,,,900 Block Of Guerrero Street,94110,8,Mission,"37.7563776485781, -122.423183995393"
B153393,12/11/2015,,,900 Block Of Guerrero Street,94110,8,Mission,"37.7563776485781, -122.423183995393"
B153394,12/11/2015,,,900 Block Of Guerrero Street,94110,8,Mission,"37.7563776485781, -122.423183995393"
B153395,12/11/2015,,,1600 Block Of Vallejo Street,94123,2,Marina,"37.7966404163258, -122.424436547074"
B153396,12/11/2015,,,1600 Block Of Vallejo Street,94123,2,Marina,"37.7966404163258, -122.424436547074"
B153397,12/11/2015,,,1600 Block Of Vallejo Street,94123,2,Marina,"37.7966404163258, -122.424436547074"
B153398,12/11/2015,,,1600 Block Of Vallejo Street,94123,2,Marina,"37.7966404163258, -122.424436547074"
B153399,12/11/2015,"$45,000.00",1,1600 Block Of Vallejo Street,94123,2,Marina,"37.7966404163258, -122.424436547074"
B153391,12/10/2015,,,100 Block Of 26th Avenue,94121,2,Seacliff,"37.7866268333018, -122.486350477517"
B153392,12/10/2015,"$75,000.00",6,900 Block Of Dolores Street,94110,8,Mission,"37.7542378494013, -122.425238262135"
B153390,12/09/2015,"$46,875.50",1,400 Block Of 3rd Avenue,94118,1,Inner Richmond,"37.7801944960307, -122.461066150054"
B153384,12/08/2015,"$150,000.00",2,100 Block Of 7th Avenue,94118,1,Inner Richmond,"37.7857367908444, -122.465765419706"
B153385,12/08/2015,"$32,000.00",1,1300 Block Of 29th Avenue,94122,4,Sunset/Parkside,"37.7621561167307, -122.487842515076"
B153386,12/08/2015,"$16,560.00",5,1200 Block Of Brussels Street,94134,10,Visitacion Valley,"37.7168985412526, -122.401418865455"
B153387,12/08/2015,"$16,560.00",5,1200 Block Of Brussels Street,94134,10,Visitacion Valley,"37.7168985412526, -122.401418865455"
B153381,12/04/2015,"$2,750.00",1,1800 Block Of 27th Avenue,94122,4,Sunset/Parkside,"37.7529274423261, -122.485048842487"
B153379,12/03/2015,"$23,283.42",2,0 Block Of Corwin Street,94114,8,Twin Peaks,"37.7571629096913, -122.439613003885"
B153380,12/03/2015,,,2400 Block Of Folsom Street,94110,9,Mission,"37.7580927749567, -122.414684745414"
B153383,12/03/2015,"$12,500.00",2,300 Block Of Tara Street,94112,11,Oceanview/Merced/Ingleside,"37.7186823157341, -122.450137244866"
B153382,12/02/2015,"$41,979.86",1,200 Block Of Corbett Avenue,94114,8,Castro/Upper Market,"37.7614444220171, -122.443399994234"
B153315,12/01/2015,,,2800 Block Of Folsom Street,94110,9,Mission,"37.7516999791201, -122.414074862806"
B153316,12/01/2015,,,800 Block Of Ashbury Street,94117,5,Haight Ashbury,"37.7662094883029, -122.446234261428"
B153320,12/01/2015,,,1600 Block Of Green Street,94123,2,Marina,"37.7972500224417, -122.426247618803"
B153321,12/01/2015,,,1600 Block Of Green Street,94123,2,Marina,"37.7972500224417, -122.426247618803"
B153322,12/01/2015,,,1600 Block Of Green Street,94123,2,Marina,"37.7972500224417, -122.426247618803"
B153323,12/01/2015,,,1600 Block Of Green Street,94123,2,Marina,"37.7972500224417, -122.426247618803"
B153324,12/01/2015,"$5,000.00",2,900 Block Of Hyde Street,94109,3,Nob Hill,"37.7895690056359, -122.417179187658"
B153325,12/01/2015,,,1900 Block Of Ellis Street,94115,5,Western Addition,"37.7815164709856, -122.438682406536"
B153326,12/01/2015,,,700 Block Of Waller Street,94117,8,Haight Ashbury,"37.7703912142833, -122.436005895549"
B153307,11/30/2015,"$34,500.00",1,100 Block Of Guerrero Street,94103,8,Mission,"37.7685615592176, -122.424584086228"
B153308,11/30/2015,,,1500 Block Of Fulton Street,94117,5,Lone Mountain/USF,"37.7763847738943, -122.442321333639"
B153309,11/30/2015,,,100 Block Of Beaver Street,94114,8,Castro/Upper Market,"37.7653773942648, -122.436877698815"
B153310,11/30/2015,,,2800 Block Of Folsom Street,94110,9,Mission,"37.7516999791201, -122.414074862806"
B153311,11/30/2015,,,2800 Block Of Folsom Street,94110,9,Mission,"37.7516999791201, -122.414074862806"
B153312,11/30/2015,,,2800 Block Of Folsom Street,94110,9,Mission,"37.7516999791201, -122.414074862806"
B153313,11/30/2015,,,2800 Block Of Folsom Street,94110,9,Mission,"37.7516999791201, -122.414074862806"
B153317,11/30/2015,"$55,000.00",2,2000 Block Of Powell Street,94133,3,North Beach,"37.803489775935, -122.411553189747"
B153301,11/25/2015,,,600 Block Of 27th Avenue,94121,1,Outer Richmond,"37.777139384529, -122.486601210575"
B153302,11/25/2015,"$17,500.00",2,1100 Block Of California Street,94108,3,Nob Hill,"37.7914675528315, -122.413273080076"
B153314,11/25/2015,"$30,000.00",3,0 Block Of Neptune Street,94124,10,Bayview Hunters Point,"37.7306019110005, -122.396948755676"
B153303,11/24/2015,,,0 Block Of Carmelita Street,94117,8,Haight Ashbury,"37.7702394244594, -122.434252769224"
B153304,11/24/2015,"$60,000.00",2,100 Block Of Danvers Street,94114,8,Castro/Upper Market,"37.7599478132304, -122.443272600226"
B153263,11/23/2015,,,300 Block Of Capitol Avenue,94112,11,Oceanview/Merced/Ingleside,"37.7136131355781, -122.459099048001"
B153248,11/20/2015,,,700 Block Of 12th Avenue,94118,1,Inner Richmond,"37.7741398847333, -122.47029938029"
B153252,11/20/2015,"$16,812.53",1,2700 Block Of Clay Street,94115,2,Pacific Heights,"37.7901326817108, -122.438304505733"
B153253,11/20/2015,"$40,419.02",4,2700 Block Of Clay Street,94115,2,Pacific Heights,"37.7901326817108, -122.438304505733"
B153254,11/20/2015,"$40,408.96",2,2700 Block Of Clay Street,94115,2,Pacific Heights,"37.7901326817108, -122.438304505733"
B153255,11/20/2015,"$23,578.52",2,2700 Block Of Clay Street,94115,2,Pacific Heights,"37.7901326817108, -122.438304505733"
B153256,11/20/2015,,,2700 Block Of Clay Street,94115,2,Pacific Heights,"37.7901326817108, -122.438304505733"
B153257,11/20/2015,"$40,396.19",2,2700 Block Of Clay Street,94115,2,Pacific Heights,"37.7901326817108, -122.438304505733"
B153258,11/20/2015,,,0 Block Of Baltimore Way,94112,11,Excelsior,"37.7099410457845, -122.431030442526"
B153259,11/20/2015,,,500 Block Of Shrader Street,94117,5,Haight Ashbury,"37.7698369749142, -122.452028786612"
B153260,11/20/2015,"$15,000.00",2,800 Block Of Waller Street,94117,5,Haight Ashbury,"37.7702242879141, -122.438170162492"
B153261,11/20/2015,"$29,000.00",1,300 Block Of Monticello Street,94132,11,Oceanview/Merced/Ingleside,"37.7206423558484, -122.470696369931"
B153262,11/20/2015,,,0 Block Of Barcelona Avenue,94115,2,Lone Mountain/USF,"37.7802569990262, -122.444496343614"
B153246,11/19/2015,"$24,000.00",2,800 Block Of Rutland Street,94134,10,Visitacion Valley,"37.7120020016214, -122.407607976137"
B153247,11/19/2015,"$26,385.96",1,1000 Block Of Montgomery Street,94133,3,North Beach,"37.7987062142688, -122.403889712323"
B153183,11/18/2015,,,700 Block Of Bush Street,94108,3,Nob Hill,"37.7901097086447, -122.409620558277"
B153184,11/18/2015,,,400 Block Of 6th Avenue,94118,1,Inner Richmond,"37.7800517939079, -122.464281166407"
B153185,11/18/2015,,,400 Block Of 6th Avenue,94118,1,Inner Richmond,"37.7800517939079, -122.464281166407"
B153244,11/18/2015,,,3500 Block Of 19th Street,94110,8,Mission,"37.7600213591677, -122.421836479978"
B153245,11/18/2015,,,2100 Block Of Taylor Street,94133,3,Russian Hill,"37.8021461513896, -122.414655119636"
B153179,11/17/2015,"$5,500.00",1,1500 Block Of 33rd Avenue,94122,4,Sunset/Parkside,"37.7582349330925, -122.491870947353"
B153180,11/17/2015,"$27,093.75",1,1000 Block Of Natoma Street,94103,6,Mission,"37.7726058802336, -122.417015964837"
B153174,11/16/2015,"$55,000.00",2,64396400 Block Of California Street,94121,1,Outer Richmond,"37.7837546165211, -122.486615769744"
B153175,11/16/2015,,,100 Block Of Noriega Street,94122,7,Inner Sunset,"37.7547848933906, -122.465129646098"
B153176,11/16/2015,,,100 Block Of Noriega Street,94122,7,Inner Sunset,"37.7547848933906, -122.465129646098"
B153181,11/16/2015,,,1600 Block Of Geneva Avenue,94134,11,Excelsior,"37.7115816415638, -122.427965645232"
B153182,11/16/2015,,,1600 Block Of Geneva Avenue,94134,11,Excelsior,"37.7115816415638, -122.427965645232"
B153173,11/13/2015,,,0 Block Of Winfield Street,94110,9,Bernal Heights,"37.7445134946818, -122.4173657937"
B153126,11/12/2015,,,500 Block Of Mason Street,94102,3,Nob Hill,"37.7885578117649, -122.410081316498"
B153127,11/12/2015,"$50,000.00",4,0 Block Of Marion Place,94133,3,Russian Hill,"37.7999118629571, -122.415318929993"
B153128,11/12/2015,"$20,000.00",2,300 Block Of Harkness Avenue,94134,10,Visitacion Valley,"37.7176488941426, -122.4041634129"
B153129,11/12/2015,"$35,000.00",1,700 Block Of Fillmore Street,94117,5,Hayes Valley,"37.7762883633178, -122.431359853738"
B153133,11/12/2015,"$5,000.00",1,1800 Block Of Sacramento Street,94109,2,Pacific Heights,"37.7911308536219, -122.423327344321"
B153134,11/12/2015,"$28,000.00",1,700 Block Of Tennessee Street,94107,10,Potrero Hill,"37.7623441152231, -122.389739252752"
B153135,11/12/2015,"$48,500.00",1,1000 Block Of Pierce Street,94115,5,Western Addition,"37.7793814653525, -122.435357598678"
B153124,11/10/2015,"$12,606.13",1,1400 Block Of Newcomb Avenue,94124,10,Bayview Hunters Point,"37.7335924153609, -122.387018017894"
B153125,11/10/2015,,,100 Block Of Noe Street,94114,8,Castro/Upper Market,"37.7670576556892, -122.433439075678"
B153073,11/09/2015,,,2600 Block Of Bryant  Street,94110,9,Mission,"37.7520023376423, -122.408984897916"
B153075,11/09/2015,,,2700 Block Of Clement Street,94121,1,Outer Richmond,"37.7819045910645, -122.488625014072"
B153121,11/09/2015,"$5,000.00",1,2300 Block Of Ofarrell Street,94115,2,Lone Mountain/USF,"37.7819205887759, -122.442698546741"
B153122,11/09/2015,"$80,000.00",1,400 Block Of 35th Avenue,94121,1,Outer Richmond,"37.7805557789543, -122.495589494229"
B153072,11/06/2015,"$25,000.00",1,500 Block Of Hill Street,94114,8,Noe Valley,"37.7554105525157, -122.43336700693"
B153074,11/06/2015,,,1900 Block Of Ellis Street,94115,5,Western Addition,"37.7817283687551, -122.437870021698"
B153068,11/05/2015,"$29,500.00",6,2400 Block Of 47th Avenue,94116,4,Sunset/Parkside,"37.7407846482495, -122.505694431039"
B153063,11/04/2015,"$60,000.00",1,100 Block Of Alpine Terrace,94117,8,Castro/Upper Market,"37.7681326740976, -122.437454373129"
B153064,11/04/2015,,,1300 Block Of Shrader Street,94117,5,Haight Ashbury,"37.7626875729558, -122.450737162909"
B153065,11/04/2015,,,2500 Block Of Lake Street,94121,2,Outer Richmond,"37.785618148342, -122.486751122831"
B153066,11/04/2015,,,1300 Block Of Palou Avenue,94124,10,Bayview Hunters Point,"37.7312794563625, -122.386266955922"
B153067,11/04/2015,,,700 Block Of Taylor Street,94108,3,Nob Hill,"37.7892825035098, -122.411912440171"
B153057,11/03/2015,,,200 Block Of Laguna Street,94102,5,Hayes Valley,"37.7734246177866, -122.425721509672"
B153058,11/03/2015,,,200 Block Of Laguna Street,94102,5,Hayes Valley,"37.7734246177866, -122.425721509672"
B153059,11/03/2015,"$20,000.00",2,600 Block Of Vienna Street,94112,11,Excelsior,"37.7181099573893, -122.432110014399"
B153060,11/03/2015,,,600 Block Of Vienna Street,94112,11,Excelsior,"37.7181099573893, -122.432110014399"
B153061,11/03/2015,,,1800 Block Of 19th Street,94107,10,Potrero Hill,"37.7609850838182, -122.400728071147"
B153062,11/03/2015,"$50,000.00",6,1400 Block Of 15th Avenue,94122,7,Inner Sunset,"37.7609520264666, -122.47252455676"
B153400,11/03/2015,"$69,649.00",2,1800 Block Of 19th Street,94107,10,Potrero Hill,"37.7609850838182, -122.400728071147"
B153401,11/03/2015,"$35,000.00",1,1800 Block Of 19th Street,94107,10,Potrero Hill,"37.7609850838182, -122.400728071147"
B153004,11/02/2015,,,1700 Block Of 45th Avenue,94122,4,Sunset/Parkside,"37.7539481246069, -122.504329180462"
B153005,11/02/2015,"$8,000.00",1,500 Block Of 21st Avenue,94121,1,Outer Richmond,"37.7774255995412, -122.480311994704"
B153006,11/02/2015,,,3600 Block Of Scott Street,94123,2,Marina,"37.8033731901565, -122.441761198008"
B153007,11/02/2015,,,3600 Block Of Scott Street,94123,2,Marina,"37.8033731901565, -122.441761198008"
B153010,11/02/2015,"$48,500.00",1,1000 Block Of Pierce Street,94115,5,Western Addition,"37.7793814653525, -122.435357598678"
B153001,10/30/2015,"$86,940.00",1,0 Block Of Museum Way,94114,8,Castro/Upper Market,"37.7645174146659, -122.440219513713"
B152994,10/29/2015,,,300 Block Of El Camino Del Mar,94121,2,Seacliff,"37.7875917566994, -122.486894417133"
B152995,10/29/2015,,,1500 Block Of 9th  Avenue,94122,7,Inner Sunset,"37.7593750365546, -122.466054263571"
B152996,10/29/2015,,,1500 Block Of 9th Avenue,94122,7,Inner Sunset,"37.7593750365546, -122.466054263571"
B152997,10/29/2015,"$8,000.00",2,900 Block Of Pine Street,94108,3,Nob Hill,"37.7906987686679, -122.411621210288"
B152998,10/29/2015,"$7,000.00",2,0 Block Of Harrington Street,94112,11,Outer Mission,"37.7255699223218, -122.435385085583"
B152999,10/29/2015,"$25,000.00",2,2100 Block Of 17th Avenue,94116,7,West of Twin Peaks,"37.747809820642, -122.473811815211"
B153000,10/29/2015,"$40,000.00",1,500 Block Of London Street,94112,11,Excelsior,"37.7204577455847, -122.437030988136"
B152989,10/28/2015,,,3500 Block Of 18th  Street,94110,8,Mission,"37.7615366327258, -122.423372714463"
B152990,10/28/2015,,,2800 Block Of 21st Street,94110,9,Mission,"37.7575665847822, -122.410980668172"
B152991,10/28/2015,,,800 Block Of Florida Street,94110,9,Mission,"37.7583448772565, -122.410674065238"
B152992,10/28/2015,,,2700 Block Of Folsom Street,94110,9,Mission,"37.7533065017189, -122.414090778467"
B152993,10/28/2015,"$50,000.00",2,3200 Block Of Gough Street,94123,2,Marina,"37.8032501809418, -122.428373635935"
B152987,10/27/2015,"$48,500.00",2,200 Block Of Jersey Street,94114,8,Noe Valley,"37.7506404178262, -122.430680031709"
B152988,10/27/2015,"$10,000.00",2,200 Block Of Jersey Street,94114,8,Noe Valley,"37.7506404178262, -122.430680031709"
B152950,10/26/2015,"$5,000.00",1,2400 Block Of 46th Avenue,94116,4,Sunset/Parkside,"37.7408386960924, -122.504486029128"
B152951,10/26/2015,,,200 Block Of Prague Street,94112,11,Excelsior,"37.7181331420714, -122.427722716746"
B152952,10/26/2015,"$12,500.00",1,0 Block Of Glover Street,94109,3,Nob Hill,"37.7971266872531, -122.416102200193"
B153002,10/26/2015,"$76,981.35",5,500 Block Of Waller Street,94117,5,Haight Ashbury,"37.7709669026046, -122.432321754736"
B153003,10/26/2015,"$88,292.50",4,500 Block Of Waller Street,94117,5,Haight Ashbury,"37.7709669026046, -122.432321754736"
B152949,10/23/2015,"$8,586.00",1,1000 Block Of Eddy Street,94109,5,Western Addition,"37.7823212339482, -122.425763303361"
B152902,10/22/2015,"$27,000.00",4,1200 Block Of 38th Avenue,94122,4,Sunset/Parkside,"37.763601325316, -122.497619164553"
B152904,10/22/2015,"$45,000.00",3,2200 Block Of 43rd Avenue,94116,4,Sunset/Parkside,"37.7447118012317, -122.501671606959"
B152899,10/21/2015,"$61,750.00",1,100 Block Of Noe Street,94114,8,Castro/Upper Market,"37.7670576556892, -122.433439075678"
B152900,10/21/2015,,,100 Block Of Noe Street,94114,8,Castro/Upper Market,"37.7670576556892, -122.433439075678"
B152901,10/21/2015,"$30,000.00",1,600 Block Of 9th  Avenue,94118,1,Inner Richmond,"37.7761584735051, -122.467084259779"
B152891,10/20/2015,,,1000 Block Of Vicente Street,94116,4,Sunset/Parkside,"37.7392614746946, -122.478112965192"
B152892,10/20/2015,,,1000 Block Of Vicente Street,94116,4,Sunset/Parkside,"37.7392614746946, -122.478112965192"
B152893,10/20/2015,,,1000 Block Of Vicente Street,94116,4,Sunset/Parkside,"37.7392614746946, -122.478112965192"
B152894,10/20/2015,,,4100 Block Of 17th Street,94114,8,Castro/Upper Market,"37.7623135714953, -122.438959981633"
B152895,10/20/2015,"$36,000.00",2,3900 Block Of Quintara Street,94116,4,Sunset/Parkside,"37.747205563278, -122.50742320185"
B152896,10/20/2015,"$35,000.00",1,3900 Block Of Quintara Street,94116,4,Sunset/Parkside,"37.747205563278, -122.50742320185"
B152897,10/20/2015,,,2100 Block Of Great Highway,94116,4,Sunset/Parkside,"37.7463258767958, -122.507499984699"
B152898,10/20/2015,"$60,000.00",1,1100 Block Of De Haro Street,94107,10,Potrero Hill,"37.7559108857717, -122.400678627271"
B152889,10/19/2015,,,100 Block Of Albion Street,94110,8,Mission,"37.7644447720509, -122.42288313068"
B152890,10/19/2015,"$20,000.00",2,1300 Block Of Union Street,94109,2,Russian Hill,"37.7989205552776, -122.421523826472"
B153008,10/19/2015,"$99,000.00",1,2100 Block Of Taylor Street,94133,3,Russian Hill,"37.8021461513896, -122.414655119636"
B152848,10/15/2015,"$59,570.42",1,3100 Block Of Mission Street,94110,9,Bernal Heights,"37.7465040382991, -122.419374719841"
