Fiscal Year,Related Gov't Units,Organization Group Code,Organization Group,Department Code,Department,Program Code,Program,Character Code,Character,Object Code,Object,Sub-object Code,Sub-object,Fund Type Code,Fund Type,Fund Code,Fund,Fund Category Code,Fund Category,Job Family,Job,FTE
2016,No,02,"Public Works, Transportation & Commerce",AIR,Airport Commission,BG2,Business & Finance,001,Salaries,001,Permanent Salaries-Misc,00101,Misc-Regular,5A,SF International Airport Funds,5AAAA,Airport Operating Fund,1,Operating,"Clerical, Secretarial & Steno",Principal Clerk,1
2016,No,02,"Public Works, Transportation & Commerce",AIR,Airport Commission,BG1,Administration,001,Salaries,001,Permanent Salaries-Misc,00101,Misc-Regular,5A,SF International Airport Funds,5AAAA,Airport Operating Fund,1,Operating,Administrative-DPW/PUC,Safety Officer,1
2016,No,05,Culture & Recreation,FAM,Fine Arts Museum,EEC,Oper & Maint Of Museums,001,Salaries,001,Permanent Salaries-Misc,00101,Misc-Regular,1G,General Fund,1GAGF,General Fund,1,Operating,Turnover Allowance/Adjustment,Attrition Savings - Miscellaneous,-11.51
2016,No,01,Public Protection,SHF,Sheriff,AFP,Sheriff Programs,001,Salaries,001,Permanent Salaries-Misc,00101,Misc-Regular,2S,Special Revenue Funds,2SPPF,Public Protection Fund,3,Continuing Projects,"Budget, Admn & Stats Analysis",Pr Administrative Analyst,1
2016,No,01,Public Protection,JUV,Juvenile Probation,ASC,Administration,001,Salaries,001,Permanent Salaries-Misc,00101,Misc-Regular,1G,General Fund,1GAGF,General Fund,1,Operating,Administrative-Labor & Trades,Bldgs & Grounds Maint Supt,1
2016,No,03,Human Welfare & Neighborhood Development,HRC,Human Rights Commission,CAD,Human Rights Commission,001,Salaries,001,Permanent Salaries-Misc,00101,Misc-Regular,1G,General Fund,1GAGF,General Fund,1,Operating,Turnover Allowance/Adjustment,Attrition Savings - Miscellaneous,-0.32
2016,No,04,Community Health,DPH,Public Health,DHM,Sfhn-Managed Care,001,Salaries,001,Permanent Salaries-Misc,00101,Misc-Regular,1G,General Fund,1GAGF,General Fund,1,Operating,Turnover Allowance/Adjustment,Attrition Savings - Miscellaneous,-0.38
2016,No,02,"Public Works, Transportation & Commerce",PRT,Port,BK9,Engineering & Environmental,001,Salaries,001,Permanent Salaries-Misc,00101,Misc-Regular,5P,Port Of San Francisco Funds,5PAAA,Port Operating Fund,1,Operating,Management,Dep Dir IV,1
2016,No,06,General Administration & Finance,CPC,City Planning,FEF,Administration/Planning,001,Salaries,001,Permanent Salaries-Misc,00101,Misc-Regular,1G,General Fund,1GAGF,General Fund,1,Operating,"Clerical, Secretarial & Steno",Clerk,2
2016,No,05,Culture & Recreation,ART,Arts Commission,EEY,Community Investments,001,Salaries,001,Permanent Salaries-Misc,00101,Misc-Regular,1G,General Fund,1GAGF,General Fund,3,Continuing Projects,Museum & Cultural Affairs,Arts Program Assistant,2.5
2016,No,05,Culture & Recreation,REC,Recreation and Park Commission,ECD,Structural Maintenance,001,Salaries,001,Permanent Salaries-Misc,00101,Misc-Regular,1G,General Fund,1GAGF,General Fund,1,Operating,Journeyman Trade,Electrician,5
2016,No,02,"Public Works, Transportation & Commerce",ECN,Economic and Workforce Development,BK7,Office Of Small Business,001,Salaries,001,Permanent Salaries-Misc,00101,Misc-Regular,1G,General Fund,1GAGF,General Fund,1,Operating,"Budget, Admn & Stats Analysis",Senior Administrative Analyst,3
2016,No,04,Community Health,DPH,Public Health,DPM,Comm Hlth - Prev - Maternal & Child Hlth,001,Salaries,004,Permanent Salaries-Nurses,00401,Nurses-Regular,1G,General Fund,1GAGF,General Fund,5,Work Orders/Overhead,Nursing,Nurse Manager,0.17
2016,Yes,06,General Administration & Finance,RET,Retirement System,FDF,Investment,001,Salaries,005,Temp Salaries-Misc,00501,Temp-Regular-Misc,7P,Pension Trust Funds,7PRET,Employees' Retirement System,1,Operating,Turnover Allowance/Adjustment,Temporary Positions,2.21
2016,No,04,Community Health,DPH,Public Health,DA5,Laguna Honda - Long Term Care,001,Salaries,001,Permanent Salaries-Misc,00101,Misc-Regular,5L,Laguna Honda Hospital Funds,5LAAA,Laguna Honda Operating Fund,1,Operating,Hospital Administration,Medical Records Technician,11
2016,No,02,"Public Works, Transportation & Commerce",AIR,Airport Commission,BG6,Facilities,001,Salaries,001,Permanent Salaries-Misc,00101,Misc-Regular,5A,SF International Airport Funds,5AAAA,Airport Operating Fund,1,Operating,Port Operation,Sheet Metal Supervisor 1,3
2016,No,01,Public Protection,POL,Police,ACP,Work Order Services,001,Salaries,002,Permanent Salaries-Uniform,00201,Uniform-Regular,1G,General Fund,1GAGF,General Fund,5,Work Orders/Overhead,Police Services,Captain 3,1
2016,No,04,Community Health,DPH,Public Health,D1H,SFGH - Acute Care - Hospital,001,Salaries,001,Permanent Salaries-Misc,00101,Misc-Regular,5H,General Hospital Medical Center Funds,5HAAA,General Hopsital Operating Fund,1,Operating,"Payroll, Billing & Accounting",Accountant II,6
2016,No,05,Culture & Recreation,AAM,Asian Art Museum,EEI,Asian Arts Museum,001,Salaries,001,Permanent Salaries-Misc,00101,Misc-Regular,1G,General Fund,1GAGF,General Fund,1,Operating,Museum & Cultural Affairs,"Assoc Musm Cnsrvt, AAM",1
2016,No,04,Community Health,DPH,Public Health,DHM,Sfhn-Managed Care,001,Salaries,001,Permanent Salaries-Misc,00101,Misc-Regular,1G,General Fund,1GAGF,General Fund,1,Operating,Information Systems,IS Project Director,1
2016,No,05,Culture & Recreation,REC,Recreation and Park Commission,EAP,Parks,001,Salaries,001,Permanent Salaries-Misc,00101,Misc-Regular,2S,Special Revenue Funds,2SOSP,Open Space & Park Fund,1,Operating,Professional Engineering,Planner 3,2
2016,No,05,Culture & Recreation,LIB,Public Library,EGG,Information Technology,001,Salaries,001,Permanent Salaries-Misc,00101,Misc-Regular,2S,Special Revenue Funds,2SLIB,Public Library Fund,1,Operating,Library,Library Page,1
2016,No,06,General Administration & Finance,CPC,City Planning,FZA,Zoning Administration And Compliance,001,Salaries,001,Permanent Salaries-Misc,00101,Misc-Regular,2S,Special Revenue Funds,2SNDF,Neighborhood Development Fund,3,Continuing Projects,Professional Engineering,Planner Technician,0.77
2016,No,01,Public Protection,DAT,District Attorney,AII,Support Services,001,Salaries,001,Permanent Salaries-Misc,00101,Misc-Regular,1G,General Fund,1GAGF,General Fund,1,Operating,Information Systems,IT Operations Support Admin V,1
2016,No,02,"Public Works, Transportation & Commerce",DPW,General Services Agency - Public Works,BAA,Engineering,001,Salaries,005,Temp Salaries-Misc,00501,Temp-Regular-Misc,1G,General Fund,1GAGF,General Fund,5,Work Orders/Overhead,Turnover Allowance/Adjustment,Temporary Positions,5.09
2016,No,02,"Public Works, Transportation & Commerce",PRT,Port,BKD,Maritime Operations & Marketing,001,Salaries,001,Permanent Salaries-Misc,00101,Misc-Regular,5P,Port Of San Francisco Funds,5PAAA,Port Operating Fund,1,Operating,Port Operation,Wharfinger 1,1
2016,No,06,General Administration & Finance,MYR,Mayor,FEY,Public Policy & Finance,001,Salaries,001,Permanent Salaries-Misc,00101,Misc-Regular,1G,General Fund,1GAGF,General Fund,1,Operating,Management,Mayoral Staff XVII,1
2016,No,01,Public Protection,DAT,District Attorney,AIE,Work Orders & Grants,001,Salaries,001,Permanent Salaries-Misc,00101,Misc-Regular,1G,General Fund,1GAGF,General Fund,5,Work Orders/Overhead,Turnover Allowance/Adjustment,Attrition Savings - Miscellaneous,-0.62
2016,No,04,Community Health,DPH,Public Health,D1H,SFGH - Acute Care - Hospital,001,Salaries,001,Permanent Salaries-Misc,00101,Misc-Regular,5H,General Hospital Medical Center Funds,5HAAA,General Hopsital Operating Fund,1,Operating,Purchasing & Storekeeping,Assistant Storekeeper,18
2016,No,06,General Administration & Finance,ADM,General Services Agency - City Admin,FEQ,Grants For The Arts,001,Salaries,001,Permanent Salaries-Misc,00101,Misc-Regular,2S,Special Revenue Funds,2SCRF,Culture & Recreation Fund,1,Operating,Management,Manager IV,1
2016,No,06,General Administration & Finance,CAT,City Attorney,FC2,Legal Service,001,Salaries,001,Permanent Salaries-Misc,00101,Misc-Regular,1G,General Fund,1GAGF,General Fund,1,Operating,Legal & Court,Legal Assistant,3
2016,No,01,Public Protection,SHF,Sheriff,AFC,Custody,001,Salaries,002,Permanent Salaries-Uniform,00201,Uniform-Regular,1G,General Fund,1GAGF,General Fund,1,Operating,Correction & Detention,Sheriff's Sergeant,27
2016,No,02,"Public Works, Transportation & Commerce",MTA,Municipal Transportation Agency,BE2,Parking & Traffic,001,Salaries,001,Permanent Salaries-Misc,00101,Misc-Regular,5N,MTA Parking & Traffic Funds,5NAAA,Parking & Traffic Operating Fund,1,Operating,"Budget, Admn & Stats Analysis",Management Assistant,2
2016,No,06,General Administration & Finance,TIS,General Services Agency - Technology,BIT,Technology,001,Salaries,001,Permanent Salaries-Misc,00101,Misc-Regular,6I,Internal Service Funds,6ITIF,Telecomm. & Information Svcs Fund,1,Operating,Turnover Allowance/Adjustment,Attrition Savings - Miscellaneous,-0.66
2016,No,04,Community Health,DPH,Public Health,DMM,Mental Health - Community Care,001,Salaries,001,Permanent Salaries-Misc,00101,Misc-Regular,1G,General Fund,1GAGF,General Fund,1,Operating,Human Services,"Sr Marriage, Fam & Cld Cnslr",3
2016,No,02,"Public Works, Transportation & Commerce",MTA,Municipal Transportation Agency,BE3,"Security, Safety, Training & Enforcement",001,Salaries,001,Permanent Salaries-Misc,00101,Misc-Regular,5M,MTA Municipal Railway Funds,5MAAA,Muni Operating Fund,1,Operating,"Clerical, Secretarial & Steno",Executive Secretary 2,1
2016,No,01,Public Protection,DAT,District Attorney,AIA,Felony Prosecution,001,Salaries,001,Permanent Salaries-Misc,00101,Misc-Regular,1G,General Fund,1GAGF,General Fund,1,Operating,Management,"Prdainvest,Specunit (SFERS)",1
2016,No,01,Public Protection,JUV,Juvenile Probation,ASC,Administration,001,Salaries,001,Permanent Salaries-Misc,00101,Misc-Regular,1G,General Fund,1GAGF,General Fund,1,Operating,"Payroll, Billing & Accounting",Accountant II,1
2016,No,02,"Public Works, Transportation & Commerce",DPW,General Services Agency - Public Works,BKJ,General Administration,001,Salaries,001,Permanent Salaries-Misc,00101,Misc-Regular,2S,Special Revenue Funds,2SPWF,"Public Works, Transp. & Commerce Fund",5,Work Orders/Overhead,Information Systems,IS Project Director,3
2016,No,06,General Administration & Finance,ASR,Assessor/Recorder,FDK,Personal Property,001,Salaries,001,Permanent Salaries-Misc,00101,Misc-Regular,1G,General Fund,1GAGF,General Fund,1,Operating,Appraisal & Taxation,Asr Senior Office Specialist,2
2016,No,06,General Administration & Finance,ADM,General Services Agency - City Admin,FAC,City Administrator - Administration,001,Salaries,001,Permanent Salaries-Misc,00101,Misc-Regular,1G,General Fund,1GAGF,General Fund,1,Operating,Information Systems,IS Engineer-Principal,1
2016,No,06,General Administration & Finance,ADM,General Services Agency - City Admin,FFH,Facilities Mgmt & Operations,001,Salaries,001,Permanent Salaries-Misc,00101,Misc-Regular,2S,Special Revenue Funds,2SRPF,Real Property Fund,3,Continuing Projects,Housekeeping & Laundry,Janitorial Services Supervisor,1
2016,No,02,"Public Works, Transportation & Commerce",AIR,Airport Commission,BG6,Facilities,001,Salaries,001,Permanent Salaries-Misc,00101,Misc-Regular,5A,SF International Airport Funds,5AAAA,Airport Operating Fund,1,Operating,Housekeeping & Laundry,Janitorial Svcs Asst Sprv,6
2016,No,04,Community Health,DPH,Public Health,DPA,Hiv Health Services,001,Salaries,001,Permanent Salaries-Misc,00101,Misc-Regular,2S,Special Revenue Funds,2SCHS,Community Health Services Fund,4,Grants,Med Therapy & Auxiliary,Health Worker 3,0.1
2016,No,05,Culture & Recreation,LIB,Public Library,EGF,Community Partnerships And Programming,001,Salaries,001,Permanent Salaries-Misc,00101,Misc-Regular,2S,Special Revenue Funds,2SLIB,Public Library Fund,1,Operating,Library,Library Assistant,1
2016,No,04,Community Health,DPH,Public Health,DMF,Forensics - Ambulatory Care,001,Salaries,001,Permanent Salaries-Misc,00101,Misc-Regular,1G,General Fund,1GAGF,General Fund,1,Operating,Med Therapy & Auxiliary,Health Program Coordinator 3,1
2016,No,02,"Public Works, Transportation & Commerce",DBI,Department of Building Inspection,BPS,Plan Review Services,001,Salaries,001,Permanent Salaries-Misc,00101,Misc-Regular,2S,Special Revenue Funds,2SBIF,Building Inspection Fund,1,Operating,"Clerical, Secretarial & Steno",Executive Secretary 2,1
2016,No,04,Community Health,DPH,Public Health,DHP,Primary Care - Ambu Care - Health Cntrs,001,Salaries,001,Permanent Salaries-Misc,00101,Misc-Regular,1G,General Fund,1GAGF,General Fund,1,Operating,Human Services,Sr Psychiatric Social Worker,1
2016,No,01,Public Protection,ECD,Department of Emergency Management,BIR,Emergency Communications,001,Salaries,001,Permanent Salaries-Misc,00101,Misc-Regular,1G,General Fund,1GAGF,General Fund,5,Work Orders/Overhead,Emergency Services,Emergency Services Coord III,0.5
2016,No,03,Human Welfare & Neighborhood Development,DSS,Human Services,CIJ,County Veterans Services,001,Salaries,001,Permanent Salaries-Misc,00101,Misc-Regular,1G,General Fund,1GAGF,General Fund,1,Operating,"Clerical, Secretarial & Steno",Clerk,0.77
2016,No,02,"Public Works, Transportation & Commerce",PUC,PUC Public Utilities Commission,BCW,Human Resources,001,Salaries,001,Permanent Salaries-Misc,00101,Misc-Regular,5W,PUC Water Department Funds,5WPUC,PUC Operating Fund,1,Operating,"Budget, Admn & Stats Analysis",Pr Administrative Analyst,2
2016,No,02,"Public Works, Transportation & Commerce",MTA,Municipal Transportation Agency,BEN,Rail & Bus Services,001,Salaries,001,Permanent Salaries-Misc,00101,Misc-Regular,5M,MTA Municipal Railway Funds,5MAAA,Muni Operating Fund,1,Operating,Journeyman Trade,Electric Motor Repairer,7
2016,No,04,Community Health,DPH,Public Health,D1P,SFGH - Acute Care - Psychiatry,001,Salaries,005,Temp Salaries-Misc,00501,Temp-Regular-Misc,5H,General Hospital Medical Center Funds,5HAAA,General Hopsital Operating Fund,1,Operating,Turnover Allowance/Adjustment,Temporary Positions,0.02
2016,No,06,General Administration & Finance,ASR,Assessor/Recorder,FDJ,Real Property,001,Salaries,001,Permanent Salaries-Misc,00101,Misc-Regular,1G,General Fund,1GAGF,General Fund,1,Operating,Appraisal & Taxation,Senior Real Property Appraiser,14
2016,No,02,"Public Works, Transportation & Commerce",DPW,General Services Agency - Public Works,BAT,Street Use Management,001,Salaries,001,Permanent Salaries-Misc,00101,Misc-Regular,2S,Special Revenue Funds,2SPWF,"Public Works, Transp. & Commerce Fund",5,Work Orders/Overhead,"Budget, Admn & Stats Analysis",Junior Administrative Analyst,1
2016,No,06,General Administration & Finance,TIS,General Services Agency - Technology,BIU,Administration,001,Salaries,001,Permanent Salaries-Misc,00101,Misc-Regular,6I,Internal Service Funds,6ITIF,Telecomm. & Information Svcs Fund,1,Operating,Construction Project Mgmt,Project Manager 2,5.08
2016,No,06,General Administration & Finance,HRD,Human Resources,FC5,Recruit/ Assess/ Client Services,001,Salaries,001,Permanent Salaries-Misc,00101,Misc-Regular,1G,General Fund,1GAGF,General Fund,1,Operating,Personnel,Personnel Clerk,7
2016,No,05,Culture & Recreation,AAM,Asian Art Museum,EEI,Asian Arts Museum,001,Salaries,001,Permanent Salaries-Misc,00101,Misc-Regular,1G,General Fund,1GAGF,General Fund,1,Operating,Management,Dept Head III,1
2016,No,02,"Public Works, Transportation & Commerce",AIR,Airport Commission,BG5,Airport Director,001,Salaries,001,Permanent Salaries-Misc,00101,Misc-Regular,5A,SF International Airport Funds,5AAAA,Airport Operating Fund,1,Operating,"Clerical, Secretarial & Steno",Executive Secretary 2,1
2016,No,04,Community Health,DPH,Public Health,DMF,Forensics - Ambulatory Care,001,Salaries,001,Permanent Salaries-Misc,00101,Misc-Regular,1G,General Fund,1GAGF,General Fund,1,Operating,Medical & Dental,Dentist,1.4
2016,No,03,Human Welfare & Neighborhood Development,DSS,Human Services,CGV,Welfare to Work,001,Salaries,001,Permanent Salaries-Misc,00101,Misc-Regular,1G,General Fund,1GAGF,General Fund,1,Operating,"Budget, Admn & Stats Analysis",Junior Management Assistant,1
2016,No,01,Public Protection,SHF,Sheriff,AFC,Custody,001,Salaries,001,Permanent Salaries-Misc,00101,Misc-Regular,1G,General Fund,1GAGF,General Fund,1,Operating,Legal & Court,Legal Process Clerk,3
2016,No,04,Community Health,DPH,Public Health,DPM,Comm Hlth - Prev - Maternal & Child Hlth,001,Salaries,001,Permanent Salaries-Misc,00101,Misc-Regular,2S,Special Revenue Funds,2SCHS,Community Health Services Fund,4,Grants,Med Therapy & Auxiliary,Health Worker 2,8.5
2016,No,06,General Administration & Finance,REG,Elections,FCH,Elections,001,Salaries,001,Permanent Salaries-Misc,00101,Misc-Regular,1G,General Fund,1GAGF,General Fund,1,Operating,Information Systems,IT Operations Support Admin II,1
2016,No,04,Community Health,DPH,Public Health,DPD,Comm Hlth - Prevention - Disease Control,001,Salaries,001,Permanent Salaries-Misc,00101,Misc-Regular,2S,Special Revenue Funds,2SCHS,Community Health Services Fund,4,Grants,Public Health,Health Program Planner,1
2016,No,01,Public Protection,POL,Police,ACX,Patrol,001,Salaries,001,Permanent Salaries-Misc,00101,Misc-Regular,1G,General Fund,1GAGF,General Fund,1,Operating,"Clerical, Secretarial & Steno",Clerk Typist,4
2016,No,02,"Public Works, Transportation & Commerce",DPW,General Services Agency - Public Works,BKJ,General Administration,001,Salaries,001,Permanent Salaries-Misc,00101,Misc-Regular,2S,Special Revenue Funds,2SPWF,"Public Works, Transp. & Commerce Fund",5,Work Orders/Overhead,"Budget, Admn & Stats Analysis",Administrative Analyst,12.77
2016,No,04,Community Health,DPH,Public Health,DPC,Comm Hlth - Prevention - Aids,001,Salaries,001,Permanent Salaries-Misc,00101,Misc-Regular,2S,Special Revenue Funds,2SCHS,Community Health Services Fund,4,Grants,Personnel,Personnel Analyst,0.25
2016,No,06,General Administration & Finance,CON,Controller,FFG,Public Finance,001,Salaries,001,Permanent Salaries-Misc,00101,Misc-Regular,1G,General Fund,1GAGF,General Fund,3,Continuing Projects,"Budget, Admn & Stats Analysis",Prnpl Admin Analyst II,1
2016,No,06,General Administration & Finance,ADM,General Services Agency - City Admin,FFH,Facilities Mgmt & Operations,001,Salaries,001,Permanent Salaries-Misc,00101,Misc-Regular,2S,Special Revenue Funds,2SRPF,Real Property Fund,3,Continuing Projects,Journeyman Trade,Painter,1
2016,No,04,Community Health,DPH,Public Health,DMF,Forensics - Ambulatory Care,001,Salaries,004,Permanent Salaries-Nurses,00401,Nurses-Regular,1G,General Fund,1GAGF,General Fund,1,Operating,Nursing,Registered Nurse,57.96
2016,No,04,Community Health,DPH,Public Health,D1P,SFGH - Acute Care - Psychiatry,001,Salaries,004,Permanent Salaries-Nurses,00401,Nurses-Regular,5H,General Hospital Medical Center Funds,5HAAA,General Hopsital Operating Fund,1,Operating,Turnover Allowance/Adjustment,Attrition Savings - Nurses,-6.82
2016,No,04,Community Health,DPH,Public Health,DHA,Central Administration,001,Salaries,001,Permanent Salaries-Misc,00101,Misc-Regular,1G,General Fund,1GAGF,General Fund,3,Continuing Projects,Information Systems,IS Engineer-Senior,2.31
2016,No,05,Culture & Recreation,REC,Recreation and Park Commission,ECD,Structural Maintenance,001,Salaries,001,Permanent Salaries-Misc,00101,Misc-Regular,1G,General Fund,1GAGF,General Fund,1,Operating,Supervisory-Labor & Trade,Carpenter Supervisor 1,1
2016,No,04,Community Health,DPH,Public Health,DMM,Mental Health - Community Care,001,Salaries,001,Permanent Salaries-Misc,00101,Misc-Regular,1G,General Fund,1GAGF,General Fund,1,Operating,Information Systems,IS Project Director,1.5
2016,No,01,Public Protection,POL,Police,ACX,Patrol,001,Salaries,002,Permanent Salaries-Uniform,00201,Uniform-Regular,1G,General Fund,1GAGF,General Fund,1,Operating,Police Services,Deputy Chief 3,3
2016,No,03,Human Welfare & Neighborhood Development,DSS,Human Services,CAO,Administrative Support,001,Salaries,001,Permanent Salaries-Misc,00101,Misc-Regular,1G,General Fund,1GAGF,General Fund,1,Operating,Information Systems,IT Operations Support Admin II,9
2016,No,04,Community Health,DPH,Public Health,FAL,Children's Baseline,001,Salaries,001,Permanent Salaries-Misc,00101,Misc-Regular,1G,General Fund,1GAGF,General Fund,1,Operating,Management,Manager I,1
2016,No,02,"Public Works, Transportation & Commerce",DPW,General Services Agency - Public Works,BA2,Street And Sewer Repair,001,Salaries,001,Permanent Salaries-Misc,00101,Misc-Regular,2S,Special Revenue Funds,2SGTF,Parking & Traffic Gasoline Tax Fund,1,Operating,Turnover Allowance/Adjustment,Attrition Savings - Miscellaneous,-2.14
2016,No,02,"Public Works, Transportation & Commerce",DPW,General Services Agency - Public Works,BKJ,General Administration,001,Salaries,001,Permanent Salaries-Misc,00101,Misc-Regular,2S,Special Revenue Funds,2SPWF,"Public Works, Transp. & Commerce Fund",5,Work Orders/Overhead,Construction Project Mgmt,Project Manager 1,1
2016,No,02,"Public Works, Transportation & Commerce",CWP,PUC Wastewater Enterprise,BDE,Wastewater Collection,001,Salaries,001,Permanent Salaries-Misc,00101,Misc-Regular,5C,PUC Wastewater Funds,5CAAA,Wastewater Operating Fund,1,Operating,Turnover Allowance/Adjustment,Attrition Savings - Miscellaneous,-4.47
2016,No,02,"Public Works, Transportation & Commerce",AIR,Airport Commission,BG6,Facilities,001,Salaries,001,Permanent Salaries-Misc,00101,Misc-Regular,5A,SF International Airport Funds,5AAAA,Airport Operating Fund,1,Operating,Journeyman Trade,"Sr Stationary Eng, Sew Plant",3
2016,No,04,Community Health,DPH,Public Health,D6P,SFGH - Long Term Care - Rf Psychiatry,001,Salaries,004,Permanent Salaries-Nurses,00401,Nurses-Regular,5H,General Hospital Medical Center Funds,5HAAA,General Hopsital Operating Fund,1,Operating,Nursing,Special Nurse,0.93
2016,No,06,General Administration & Finance,TIS,General Services Agency - Technology,BK4,Governance And Outreach,001,Salaries,001,Permanent Salaries-Misc,00101,Misc-Regular,6I,Internal Service Funds,6ITIF,Telecomm. & Information Svcs Fund,1,Operating,Information Systems,IS Engineer-Journey,2
2016,No,02,"Public Works, Transportation & Commerce",DBI,Department of Building Inspection,BAN,Administration/Support Services,001,Salaries,001,Permanent Salaries-Misc,00101,Misc-Regular,2S,Special Revenue Funds,2SBIF,Building Inspection Fund,1,Operating,"Clerical, Secretarial & Steno",Secretary 2,1
2016,No,01,Public Protection,SHF,Sheriff,AFT,Security Services,001,Salaries,001,Permanent Salaries-Misc,00101,Misc-Regular,1G,General Fund,1GAGF,General Fund,1,Operating,Correction & Detention,Sheriff's Cadet,15.67
2016,No,04,Community Health,DPH,Public Health,DHP,Primary Care - Ambu Care - Health Cntrs,001,Salaries,004,Permanent Salaries-Nurses,00401,Nurses-Regular,2S,Special Revenue Funds,2SCHS,Community Health Services Fund,4,Grants,Turnover Allowance/Adjustment,Attrition Savings - Nurses,-1.01
2016,No,06,General Administration & Finance,CPC,City Planning,FEF,Administration/Planning,001,Salaries,001,Permanent Salaries-Misc,00101,Misc-Regular,1G,General Fund,1GAGF,General Fund,1,Operating,Management,Dep Dir III,1
2016,No,06,General Administration & Finance,CPC,City Planning,FEF,Administration/Planning,001,Salaries,001,Permanent Salaries-Misc,00101,Misc-Regular,1G,General Fund,1GAGF,General Fund,1,Operating,Information Systems,IS Engineer-Senior,1
2016,No,04,Community Health,DPH,Public Health,D1H,SFGH - Acute Care - Hospital,001,Salaries,001,Permanent Salaries-Misc,00101,Misc-Regular,5H,General Hospital Medical Center Funds,5HAAA,General Hopsital Operating Fund,1,Operating,Journeyman Trade,Plumber,1
2016,No,01,Public Protection,FIR,Fire Department,API,Prevention & Investigation,001,Salaries,001,Permanent Salaries-Misc,00101,Misc-Regular,1G,General Fund,1GAGF,General Fund,1,Operating,"Clerical, Secretarial & Steno",Senior Clerk Typist,2
2016,No,03,Human Welfare & Neighborhood Development,DSS,Human Services,CAI,County Adult Assistance Program,001,Salaries,001,Permanent Salaries-Misc,00101,Misc-Regular,1G,General Fund,1GAGF,General Fund,1,Operating,"Clerical, Secretarial & Steno",Clerk,4.23
2016,No,04,Community Health,DPH,Public Health,DHA,Central Administration,001,Salaries,001,Permanent Salaries-Misc,00101,Misc-Regular,1G,General Fund,1GAGF,General Fund,1,Operating,"Payroll, Billing & Accounting",Sr Payroll & Personnel Clerk,4
2016,No,03,Human Welfare & Neighborhood Development,DSS,Human Services,CIM,In Home Supportive Services,001,Salaries,005,Temp Salaries-Misc,00501,Temp-Regular-Misc,1G,General Fund,1GAGF,General Fund,1,Operating,Turnover Allowance/Adjustment,Temporary Positions,0.71
2016,No,06,General Administration & Finance,HRD,Human Resources,FAR,Workforce Development,001,Salaries,001,Permanent Salaries-Misc,00101,Misc-Regular,1G,General Fund,1GAGF,General Fund,5,Work Orders/Overhead,"Budget, Admn & Stats Analysis",Administrative Analyst,1
2016,No,03,Human Welfare & Neighborhood Development,CHF,"Children, Youth & Their Families",CBI,Children's Fund Programs,001,Salaries,001,Permanent Salaries-Misc,00101,Misc-Regular,2S,Special Revenue Funds,2SCHF,Children's Fund,1,Operating,"Payroll, Billing & Accounting",Accountant II,1
2016,No,04,Community Health,DPH,Public Health,D1H,SFGH - Acute Care - Hospital,001,Salaries,001,Permanent Salaries-Misc,00101,Misc-Regular,5H,General Hospital Medical Center Funds,5HAAA,General Hopsital Operating Fund,1,Operating,"Lab, Pharmacy & Med Techs",Medical Evaluations Assistant,40.8
2016,No,06,General Administration & Finance,CON,Controller,FDX,Financial Systems Project,001,Salaries,001,Permanent Salaries-Misc,00101,Misc-Regular,1G,General Fund,1GAGF,General Fund,3,Continuing Projects,Information Systems,IS Engineer-Journey,0.73
2016,No,03,Human Welfare & Neighborhood Development,DSS,Human Services,CAO,Administrative Support,001,Salaries,001,Permanent Salaries-Misc,00101,Misc-Regular,1G,General Fund,1GAGF,General Fund,1,Operating,Personnel,Payroll Clerk,6
2016,No,06,General Administration & Finance,ADM,General Services Agency - City Admin,FAC,City Administrator - Administration,001,Salaries,001,Permanent Salaries-Misc,00101,Misc-Regular,1G,General Fund,1GAGF,General Fund,1,Operating,Health & Sanitation Inspection,Safety Analyst,1
2016,No,06,General Administration & Finance,HRD,Human Resources,FC4,Employee Relations,001,Salaries,001,Permanent Salaries-Misc,00101,Misc-Regular,1G,General Fund,1GAGF,General Fund,2,Annual Projects,Personnel,Employee Relations Representat,1
2016,No,06,General Administration & Finance,ADM,General Services Agency - City Admin,FCT,Risk Management / General,001,Salaries,001,Permanent Salaries-Misc,00101,Misc-Regular,1G,General Fund,1GAGF,General Fund,5,Work Orders/Overhead,Management,Manager III,1
2016,No,04,Community Health,DPH,Public Health,DA5,Laguna Honda - Long Term Care,001,Salaries,001,Permanent Salaries-Misc,00101,Misc-Regular,5L,Laguna Honda Hospital Funds,5LAAA,Laguna Honda Operating Fund,1,Operating,Information Systems,IS Project Director,1
2016,No,01,Public Protection,POL,Police,AC5,Airport Police,001,Salaries,001,Permanent Salaries-Misc,00101,Misc-Regular,5A,SF International Airport Funds,5AAAA,Airport Operating Fund,1,Operating,"Budget, Admn & Stats Analysis",Management Assistant,2
2016,No,03,Human Welfare & Neighborhood Development,CSS,Child Support Services,CAF,Child Support Services Program,001,Salaries,001,Permanent Salaries-Misc,00101,Misc-Regular,2S,Special Revenue Funds,2SCSS,Child Support Services Fund,1,Operating,Legal & Court,"Head Atty, Civil & Criminal",1
2016,No,04,Community Health,DPH,Public Health,DHT,Transitions,001,Salaries,005,Temp Salaries-Misc,00501,Temp-Regular-Misc,1G,General Fund,1GAGF,General Fund,1,Operating,Turnover Allowance/Adjustment,Temporary Positions,0.01
